,year,month,state,sentiment,frequency
202,2012,9,AZ,,0.0
203,2012,10,AZ,,0.0
204,2012,11,AZ,,0.0
205,2012,12,AZ,,0.0
206,2013,1,AZ,,0.0
207,2013,2,AZ,,0.0
208,2013,3,AZ,,0.0
209,2013,4,AZ,,0.0
210,2013,5,AZ,,0.0
211,2013,6,AZ,,0.0
212,2013,7,AZ,,0.0
213,2013,8,AZ,,0.0
214,2013,9,AZ,,0.0
215,2013,10,AZ,,0.0
216,2013,11,AZ,,0.0
217,2013,12,AZ,,0.0
218,2014,1,AZ,,0.0
219,2014,2,AZ,,0.0
220,2014,3,AZ,,0.0
221,2014,4,AZ,,0.0
222,2014,5,AZ,,0.0
223,2014,6,AZ,,0.0
224,2014,7,AZ,0.008333333333333333,2.0
225,2014,8,AZ,,0.0
226,2014,9,AZ,,0.0
227,2014,10,AZ,,0.0
228,2014,11,AZ,,0.0
229,2014,12,AZ,,0.0
230,2015,1,AZ,,0.0
231,2015,2,AZ,,0.0
232,2015,3,AZ,,0.0
233,2015,4,AZ,,0.0
234,2015,5,AZ,,0.0
235,2015,6,AZ,,0.0
236,2015,7,AZ,,0.0
237,2015,8,AZ,,0.0
238,2015,9,AZ,,0.0
239,2015,10,AZ,,0.0
240,2015,11,AZ,,0.0
241,2015,12,AZ,,0.0
242,2016,1,AZ,,0.0
243,2016,2,AZ,0.13636363636363635,1.0
244,2016,3,AZ,,0.0
245,2016,4,AZ,,0.0
246,2016,5,AZ,,0.0
247,2016,6,AZ,,0.0
248,2016,7,AZ,,0.0
249,2016,8,AZ,,0.0
250,2016,9,AZ,,0.0
251,2016,10,AZ,,0.0
252,2016,11,AZ,,0.0
253,2016,12,AZ,,0.0
254,2017,1,AZ,,0.0
255,2017,2,AZ,,0.0
256,2017,3,AZ,,0.0
257,2017,4,AZ,,0.0
258,2017,5,AZ,,0.0
259,2017,6,AZ,,0.0
260,2017,7,AZ,0.024242424242424246,10.0
261,2017,8,AZ,0.12416666666666666,4.0
262,2017,9,AZ,0.1457070707070707,9.0
263,2017,10,AZ,0.109375,4.0
264,2017,11,AZ,0.016666666666666663,2.0
265,2017,12,AZ,0.1025,3.0
266,2018,1,AZ,0.17226851851851852,6.0
267,2018,2,AZ,0.06068181818181819,3.0
268,2018,3,AZ,0.09276041666666665,5.0
269,2018,4,AZ,0.011190476190476195,7.0
270,2018,5,AZ,0.22069805194805195,7.0
271,2018,6,AZ,0.006666666666666667,4.0
272,2018,7,AZ,0.115625,2.0
273,2018,8,AZ,0.05049603174603174,6.0
274,2018,9,AZ,0.0,2.0
275,2018,10,AZ,0.30625,8.0
276,2018,11,AZ,,0.0
277,2018,12,AZ,,0.0
278,2019,1,AZ,,0.0
279,2019,2,AZ,,0.0
280,2019,3,AZ,,0.0
281,2019,4,AZ,,0.0
282,2019,5,AZ,,0.0
283,2019,6,AZ,0.20388888888888887,9.0
284,2019,7,AZ,0.1375,4.0
285,2019,8,AZ,,0.0
286,2019,9,AZ,,0.0
287,2019,10,AZ,,0.0
288,2019,11,AZ,,0.0
289,2019,12,AZ,,0.0
290,2020,1,AZ,,0.0
291,2012,1,AR,,0.0
292,2012,2,AR,,0.0
293,2012,3,AR,,0.0
294,2012,4,AR,,0.0
295,2012,5,AR,,0.0
296,2012,6,AR,,0.0
297,2012,7,AR,,0.0
298,2012,8,AR,,0.0
299,2012,9,AR,,0.0
300,2012,10,AR,,0.0
301,2012,11,AR,,0.0
302,2012,12,AR,,0.0
303,2013,1,AR,,0.0
304,2013,2,AR,,0.0
305,2013,3,AR,,0.0
306,2013,4,AR,,0.0
307,2013,5,AR,,0.0
308,2013,6,AR,,0.0
309,2013,7,AR,,0.0
310,2013,8,AR,,0.0
311,2013,9,AR,,0.0
312,2013,10,AR,,0.0
313,2013,11,AR,,0.0
314,2013,12,AR,,0.0
315,2014,1,AR,,0.0
316,2014,2,AR,,0.0
317,2014,3,AR,,0.0
318,2014,4,AR,,0.0
319,2014,5,AR,,0.0
320,2014,6,AR,,0.0
321,2014,7,AR,,0.0
322,2014,8,AR,,0.0
323,2014,9,AR,,0.0
324,2014,10,AR,,0.0
325,2014,11,AR,,0.0
326,2014,12,AR,,0.0
327,2015,1,AR,,0.0
328,2015,2,AR,,0.0
329,2015,3,AR,,0.0
330,2015,4,AR,,0.0
331,2015,5,AR,,0.0
332,2015,6,AR,,0.0
333,2015,7,AR,,0.0
334,2015,8,AR,,0.0
335,2015,9,AR,,0.0
336,2015,10,AR,,0.0
337,2015,11,AR,,0.0
338,2015,12,AR,,0.0
339,2016,1,AR,,0.0
340,2016,2,AR,,0.0
341,2016,3,AR,,0.0
342,2016,4,AR,,0.0
343,2016,5,AR,,0.0
344,2016,6,AR,,0.0
345,2016,7,AR,,0.0
346,2016,8,AR,,0.0
347,2016,9,AR,,0.0
348,2016,10,AR,,0.0
349,2016,11,AR,,0.0
350,2016,12,AR,,0.0
351,2017,1,AR,,0.0
352,2017,2,AR,,0.0
353,2017,3,AR,,0.0
354,2017,4,AR,,0.0
355,2017,5,AR,,0.0
356,2017,6,AR,,0.0
357,2017,7,AR,0.05333333333333334,3.0
358,2017,8,AR,,0.0
359,2017,9,AR,,0.0
360,2017,10,AR,0.4,2.0
361,2017,11,AR,0.0,1.0
362,2017,12,AR,,0.0
363,2018,1,AR,,0.0
364,2018,2,AR,0.0,1.0
365,2018,3,AR,0.09999999999999999,6.0
366,2018,4,AR,0.037500000000000006,4.0
367,2018,5,AR,,0.0
368,2018,6,AR,0.0,1.0
369,2018,7,AR,,0.0
370,2018,8,AR,0.0,2.0
371,2018,9,AR,0.056818181818181816,6.0
372,2018,10,AR,0.0,5.0
373,2018,11,AR,,0.0
374,2018,12,AR,,0.0
375,2019,1,AR,,0.0
376,2019,2,AR,,0.0
377,2019,3,AR,,0.0
378,2019,4,AR,,0.0
379,2019,5,AR,,0.0
380,2019,6,AR,0.19791666666666666,2.0
381,2019,7,AR,0.05833333333333333,1.0
382,2019,8,AR,,0.0
383,2019,9,AR,,0.0
384,2019,10,AR,,0.0
385,2019,11,AR,,0.0
386,2019,12,AR,,0.0
387,2020,1,AR,,0.0
388,2012,1,CA,,0.0
389,2012,2,CA,,0.0
390,2012,3,CA,,0.0
391,2012,4,CA,,0.0
392,2012,5,CA,,0.0
393,2012,6,CA,,0.0
394,2012,7,CA,,0.0
395,2012,8,CA,,0.0
396,2012,9,CA,,0.0
397,2012,10,CA,,0.0
398,2012,11,CA,,0.0
399,2012,12,CA,0.11499999999999999,1.0
400,2013,1,CA,,0.0
401,2013,2,CA,,0.0
402,2013,3,CA,,0.0
403,2013,4,CA,,0.0
404,2013,5,CA,,0.0
405,2013,6,CA,,0.0
406,2013,7,CA,,0.0
407,2013,8,CA,,0.0
408,2013,9,CA,,0.0
409,2013,10,CA,,0.0
410,2013,11,CA,,0.0
411,2013,12,CA,,0.0
412,2014,1,CA,,0.0
413,2014,2,CA,,0.0
414,2014,3,CA,,0.0
415,2014,4,CA,0.0,1.0
416,2014,5,CA,,0.0
417,2014,6,CA,0.8,1.0
418,2014,7,CA,,0.0
419,2014,8,CA,,0.0
420,2014,9,CA,,0.0
421,2014,10,CA,0.0,1.0
422,2014,11,CA,,0.0
423,2014,12,CA,,0.0
424,2015,1,CA,,0.0
425,2015,2,CA,-0.3,1.0
426,2015,3,CA,,0.0
427,2015,4,CA,,0.0
428,2015,5,CA,,0.0
429,2015,6,CA,,0.0
430,2015,7,CA,,0.0
431,2015,8,CA,,0.0
432,2015,9,CA,,0.0
433,2015,10,CA,0.06534090909090909,2.0
434,2015,11,CA,,0.0
435,2015,12,CA,,0.0
436,2016,1,CA,,0.0
437,2016,2,CA,,0.0
438,2016,3,CA,,0.0
439,2016,4,CA,,0.0
440,2016,5,CA,,0.0
441,2016,6,CA,,0.0
442,2016,7,CA,,0.0
443,2016,8,CA,,0.0
444,2016,9,CA,,0.0
445,2016,10,CA,,0.0
446,2016,11,CA,,0.0
447,2016,12,CA,,0.0
448,2017,1,CA,,0.0
449,2017,2,CA,,0.0
450,2017,3,CA,,0.0
451,2017,4,CA,,0.0
452,2017,5,CA,,0.0
453,2017,6,CA,,0.0
454,2017,7,CA,0.19109316378066377,30.0
455,2017,8,CA,0.07015610651974291,66.0
456,2017,9,CA,0.17597222222222222,24.0
457,2017,10,CA,0.23277698863636367,32.0
458,2017,11,CA,0.09577121212121212,25.0
459,2017,12,CA,0.18387461572244182,23.0
460,2018,1,CA,0.07700909090909093,20.0
461,2018,2,CA,0.09312594696969702,40.0
462,2018,3,CA,0.1713098786459443,61.0
463,2018,4,CA,0.19561224489795917,35.0
464,2018,5,CA,0.133037518037518,21.0
465,2018,6,CA,0.10461807928913194,19.0
466,2018,7,CA,0.1662289562289562,18.0
467,2018,8,CA,0.19148690476190477,25.0
468,2018,9,CA,0.190370525103981,34.0
469,2018,10,CA,0.1753066378066378,12.0
470,2018,11,CA,,0.0
471,2018,12,CA,,0.0
472,2019,1,CA,,0.0
473,2019,2,CA,0.25,1.0
474,2019,3,CA,,0.0
475,2019,4,CA,,0.0
476,2019,5,CA,,0.0
477,2019,6,CA,0.14434766622266623,26.0
478,2019,7,CA,0.11562937710437711,30.0
479,2019,8,CA,,0.0
480,2019,9,CA,,0.0
481,2019,10,CA,,0.0
482,2019,11,CA,,0.0
483,2019,12,CA,,0.0
484,2020,1,CA,,0.0
485,2012,1,CO,,0.0
486,2012,2,CO,,0.0
487,2012,3,CO,,0.0
488,2012,4,CO,,0.0
489,2012,5,CO,,0.0
490,2012,6,CO,,0.0
491,2012,7,CO,,0.0
492,2012,8,CO,,0.0
493,2012,9,CO,,0.0
494,2012,10,CO,,0.0
495,2012,11,CO,,0.0
496,2012,12,CO,,0.0
497,2013,1,CO,,0.0
498,2013,2,CO,,0.0
499,2013,3,CO,,0.0
500,2013,4,CO,,0.0
501,2013,5,CO,,0.0
502,2013,6,CO,,0.0
503,2013,7,CO,0.25,1.0
504,2013,8,CO,,0.0
505,2013,9,CO,,0.0
506,2013,10,CO,0.2,1.0
507,2013,11,CO,,0.0
508,2013,12,CO,,0.0
509,2014,1,CO,,0.0
510,2014,2,CO,,0.0
